query_id,bm25,dense,years,skill_overlap,quality,intent_conf,relevance
1,0.0,0.443,0.0,0,0.6,0.5,0
1,0.2,0.565,15.0,0,1.0,0.5,0
1,0.0,0.47,0.0,0,0.6,0.5,0
1,0.0,0.586,4.0,0,0.6,0.5,0
1,0.2,0.581,3.0,0,0.6,0.8,0
1,0.0,0.56,15.0,0,0.6,0.5,0
1,0.0,0.584,9.0,0,1.0,0.5,0
1,0.2,0.516,15.0,0,0.6,0.5,0
1,0.0,0.513,15.0,0,1.0,0.5,0
1,0.2,0.484,15.0,0,0.6,0.5,0
1,0.0,0.512,15.0,0,0.6,0.5,0
1,0.2,0.451,15.0,0,1.0,0.5,0
1,0.0,0.588,8.0,0,0.6,0.5,0
1,0.2,0.565,15.0,0,1.0,0.5,0
1,0.2,0.775,1.0,1,0.6,0.8,1
1,0.2,0.588,15.0,0,0.6,0.5,0
1,0.0,0.459,15.0,0,1.0,0.5,0
1,0.2,0.511,15.0,0,1.0,0.5,0
1,0.2,0.735,0.0,1,0.6,0.8,0
1,0.2,0.441,15.0,0,0.6,0.5,0
1,0.0,0.586,9.0,0,1.0,0.5,0
1,0.0,0.582,1.0,0,0.6,0.5,0
1,0.0,0.441,15.0,0,0.6,0.5,0
1,0.0,0.556,4.0,0,0.6,0.5,0
1,0.0,0.491,15.0,0,0.6,0.5,0
1,0.0,0.406,4.0,0,1.0,0.5,0
1,0.2,0.787,0.0,1,0.6,0.8,1
1,0.0,0.451,15.0,0,1.0,0.5,0
1,0.2,0.569,15.0,0,0.6,0.5,0
1,0.2,0.508,15.0,0,0.6,0.5,0
2,0.0,0.437,0.0,0,0.6,0.5,0
2,0.0,0.415,15.0,0,1.0,0.5,0
2,0.5,0.871,1.0,1,0.6,0.8,1
2,0.0,0.576,0.0,0,0.6,0.5,0
2,0.0,0.413,15.0,0,0.6,0.5,0
2,0.25,0.732,3.0,1,0.6,0.8,3
2,0.0,0.515,6.0,0,0.6,0.5,0
2,0.25,0.735,1.0,1,0.6,0.8,1
2,0.0,0.491,15.0,0,0.592,0.5,0
2,0.0,0.447,15.0,0,0.6,0.5,0
2,0.0,0.489,15.0,0,0.6,0.5,0
2,0.0,0.57,15.0,0,0.6,0.5,0
2,0.0,0.597,15.0,0,0.6,0.5,0
2,0.0,0.514,15.0,0,1.0,0.5,0
2,0.0,0.433,15.0,0,1.0,0.5,0
2,0.0,0.566,5.0,0,1.0,0.5,0
2,0.0,0.586,15.0,0,0.6,0.5,0
2,0.0,0.526,15.0,0,0.6,0.5,0
2,0.0,0.495,0.0,0,0.6,0.5,0
2,0.0,0.501,15.0,0,0.6,0.5,0
2,0.75,0.859,0.0,1,0.6,0.8,0
2,0.5,0.887,4.0,1,1.0,0.8,3
2,0.0,0.554,5.0,0,1.0,0.8,0
2,0.0,0.407,10.0,0,1.0,0.5,0
2,0.0,0.478,15.0,0,1.0,0.5,0
2,0.25,0.866,0.0,1,0.6,0.8,0
2,0.0,0.472,15.0,0,0.6,0.5,0
2,0.25,0.733,10.0,1,1.0,0.8,3
2,0.0,0.432,12.0,0,1.0,0.5,0
2,0.0,0.518,15.0,0,0.6,0.5,0
3,0.0,0.541,15.0,0,0.6,0.5,0
3,0.0,0.487,0.0,0,0.6,0.5,0
3,0.25,0.844,1.0,1,0.6,0.8,1
3,0.0,0.589,15.0,0,1.0,0.5,0
3,0.0,0.419,0.0,0,0.6,0.5,0
3,0.0,0.597,15.0,0,1.0,0.5,0
3,0.0,0.557,15.0,0,1.0,0.5,0
3,0.0,0.599,15.0,0,0.6,0.5,0
3,0.0,0.499,15.0,0,0.6,0.5,0
3,0.25,0.801,1.0,1,0.6,0.8,1
3,0.0,0.571,15.0,0,1.0,0.5,0
3,0.0,0.406,15.0,0,0.581,0.5,0
3,0.0,0.501,15.0,0,1.0,0.5,0
3,0.0,0.573,4.0,0,1.0,0.5,0
3,0.0,0.571,10.0,0,0.6,0.5,0
3,0.0,0.559,15.0,0,0.6,0.5,0
3,0.0,0.589,0.0,0,0.6,0.5,0
3,0.25,0.594,0.0,0,0.6,0.5,0
3,0.0,0.442,1.0,0,1.0,0.5,0
3,0.0,0.586,0.0,0,0.6,0.5,0
3,0.25,0.491,4.0,0,1.0,0.5,0
3,0.25,0.461,6.0,0,1.0,0.5,0
3,0.0,0.513,15.0,0,0.6,0.5,0
3,0.0,0.537,5.0,0,1.0,0.5,0
3,0.0,0.486,1.0,0,0.6,0.5,0
3,0.25,0.854,1.0,1,0.6,0.8,1
3,0.0,0.491,15.0,0,0.6,0.5,0
3,0.0,0.478,15.0,0,0.6,0.5,0
3,0.0,0.425,8.0,0,1.0,0.5,0
3,0.25,0.827,0.0,1,0.6,0.8,1
4,0.0,0.437,0.0,0,0.6,0.5,1
4,0.5,0.84,0.0,1,0.6,0.8,0
4,0.5,0.877,0.0,1,0.6,0.8,0
4,0.0,0.788,6.0,1,1.0,0.5,1
4,0.0,0.41,10.0,0,1.0,0.5,1
4,0.0,0.597,15.0,0,1.0,0.5,1
4,0.0,0.524,15.0,0,0.6,0.5,1
4,0.0,0.456,15.0,0,0.6,0.5,1
4,0.0,0.503,15.0,0,0.977,0.5,1
4,0.0,0.539,6.0,0,1.0,0.5,1
4,0.0,0.432,15.0,0,0.6,0.5,1
4,0.0,0.538,9.0,0,1.0,0.5,1
4,0.0,0.461,15.0,0,0.6,0.5,1
4,0.0,0.503,15.0,0,1.0,0.5,1
4,0.25,0.482,13.0,0,1.0,0.5,1
4,0.0,0.438,0.0,0,0.6,0.5,1
4,0.25,0.857,5.0,1,1.0,0.8,1
4,0.0,0.529,15.0,0,0.6,0.5,1
4,0.0,0.52,15.0,0,1.0,0.5,1
4,0.0,0.464,5.0,0,1.0,0.5,1
4,0.0,0.408,6.0,0,1.0,0.5,1
4,0.0,0.449,1.0,0,0.6,0.5,1
4,0.5,0.866,1.0,1,0.6,0.8,1
4,0.0,0.568,15.0,0,0.6,0.5,1
4,0.0,0.485,15.0,0,0.6,0.5,1
4,0.5,0.79,0.0,1,0.6,0.8,0
4,0.0,0.444,12.0,0,1.0,0.5,1
4,0.0,0.467,15.0,0,0.6,0.5,1
4,0.0,0.429,15.0,0,0.6,0.5,1
4,0.0,0.477,15.0,0,1.0,0.5,1
5,0.0,0.568,1.0,0,0.6,0.5,0
5,0.0,0.551,5.0,0,0.6,0.5,0
5,0.0,0.49,1.0,0,0.6,0.5,0
5,0.333,0.462,15.0,0,1.0,0.5,0
5,0.333,0.473,15.0,0,0.6,0.5,0
5,0.333,0.446,15.0,0,0.6,0.5,0
5,0.333,0.451,15.0,0,1.0,0.5,0
5,0.0,0.522,0.0,0,0.6,0.5,0
5,0.333,0.423,4.0,0,1.0,0.5,0
5,0.0,0.48,1.0,0,0.6,0.5,0
5,0.333,0.43,10.0,0,1.0,0.5,0
5,0.333,0.545,15.0,0,0.6,0.5,0
5,0.0,0.528,5.0,0,0.6,0.5,0
5,0.333,0.499,15.0,0,0.6,0.5,0
5,0.333,0.588,15.0,0,0.6,0.5,0
5,0.333,0.596,10.0,0,0.6,0.5,0
5,0.0,0.577,1.0,0,0.6,0.5,0
5,0.333,0.512,15.0,0,0.6,0.5,0
5,0.0,0.465,7.0,0,0.6,0.5,0
5,0.333,0.442,12.0,0,1.0,0.5,0
5,0.333,0.513,15.0,0,0.6,0.5,0
5,0.333,0.534,17.0,0,1.0,0.5,0
5,0.0,0.6,5.0,0,1.0,0.5,0
5,0.333,0.574,15.0,0,0.6,0.5,0
5,0.333,0.515,15.0,0,1.0,0.5,0
5,0.333,0.478,5.0,0,1.0,0.5,0
5,0.0,0.49,15.0,0,0.6,0.5,0
5,0.0,0.575,4.0,0,1.0,0.5,0
5,0.333,0.528,9.0,0,1.0,0.5,0
5,0.0,0.432,1.0,0,0.6,0.5,0
6,0.2,0.581,15.0,0,1.0,0.5,0
6,0.0,0.551,15.0,0,0.6,0.5,0
6,0.2,0.444,3.0,0,1.0,0.5,0
6,0.2,0.575,6.0,0,1.0,0.5,0
6,0.4,0.498,7.0,0,0.6,0.5,0
6,0.2,0.46,0.0,0,0.6,0.5,0
6,0.4,0.585,1.0,0,0.6,0.5,0
6,0.2,0.429,2.0,0,0.6,0.5,0
6,0.2,0.447,0.0,0,0.6,0.5,0
6,0.2,0.524,15.0,0,0.6,0.5,0
6,0.2,0.56,15.0,0,0.6,0.5,0
6,0.2,0.414,6.0,0,0.6,0.5,0
6,0.0,0.566,0.0,0,0.6,0.5,0
6,0.4,0.448,1.0,0,0.6,0.5,0
6,0.2,0.518,15.0,0,0.6,0.5,0
6,0.2,0.533,0.0,0,0.6,0.5,0
6,0.0,0.556,15.0,0,0.6,0.5,0
6,0.2,0.56,15.0,0,1.0,0.5,0
6,0.0,0.405,15.0,0,0.6,0.5,0
6,0.2,0.486,15.0,0,1.0,0.5,0
6,0.0,0.506,0.0,0,0.6,0.5,0
6,0.2,0.423,0.0,0,0.6,0.5,0
6,0.2,0.479,15.0,0,1.0,0.5,0
6,0.2,0.496,15.0,0,0.6,0.5,0
6,0.2,0.416,15.0,0,1.0,0.5,0
6,0.2,0.456,15.0,0,1.0,0.5,0
6,0.6,0.536,1.0,0,0.6,0.5,0
6,0.2,0.452,6.0,0,0.6,0.5,0
6,0.4,0.426,1.0,0,0.6,0.5,0
6,0.2,0.52,15.0,0,1.0,0.5,0
7,0.75,0.451,15.0,0,1.0,0.8,0
7,0.5,0.555,15.0,0,0.6,0.8,0
7,0.0,0.51,1.0,0,0.6,0.5,0
7,0.0,0.483,0.0,0,0.6,0.5,0
7,0.0,0.422,5.0,0,1.0,0.5,0
7,0.0,0.513,9.0,0,1.0,0.5,0
7,0.0,0.512,1.0,0,0.6,0.5,0
7,0.5,0.438,15.0,0,1.0,0.8,0
7,0.5,0.436,15.0,0,0.6,0.8,0
7,0.0,0.419,9.0,0,1.0,0.5,0
7,0.0,0.449,6.0,0,1.0,0.5,0
7,0.5,0.5,15.0,0,1.0,0.8,0
7,0.5,0.492,15.0,0,0.6,0.8,0
7,0.5,0.556,15.0,0,1.0,0.8,0
7,0.0,0.561,0.0,0,0.6,0.5,0
